09:43:20:444 [ALWAYS]	GUDE Logging Started
09:43:20:446 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:43:20:446 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:43:20:446 [ERROR]	Initialize resume cache pointer failure
09:43:20:446 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:43:20:446 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:43:29:630 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:43:29:631 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:43:29:631 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:43:29:631 [ERROR]	Initialize resume cache pointer failure
09:43:29:631 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:43:29:631 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
